2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-28 00:08:14 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4570.82000;7.00;Sell;1.7933;;;;;0.00000;0.0000;0.0000;;;0.00000;;102385.60;
2026-04-28 00:11:17 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;7.00;Sell;;;;;;;;;;;;;;
2026-04-28 00:11:17 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4574.29000;7.00;Sell;1.7152;;;;;0.00000;0.0000;0.0000;;;0.00000;;102385.60;
2026-04-28 00:12:18 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;7.00;Sell;;;;;;;;;;;;;;
2026-04-28 00:12:18 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4578.02000;7.00;Sell;2.5982;;;;;0.00000;0.0000;0.0000;;;0.00000;;102385.60;
2026-04-28 02:39:56 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;21.00;Buy;;;;;;;;;;;;;;
2026-04-28 02:39:56 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4560.83000;21.00;Buy;5.7564;;;;;0.00000;0.0000;0.0000;;0.7334;208.64870;;102594.25;
2026-04-28 02:55:48 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;8.00;Sell;;;;;;;;;;;;;;
2026-04-28 02:55:48 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4565.26000;8.00;Sell;2.2821;;;;;0.00000;0.0000;0.0000;;;0.00000;;102594.25;
2026-04-28 02:59:28 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;7.00;Sell;;;;;;;;;;;;;;
2026-04-28 02:59:28 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4572.53000;7.00;Sell;1.4783;;;;;0.00000;0.0000;0.0000;;;0.00000;;102594.25;
2026-04-28 03:00:56 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;6.00;Sell;;;;;;;;;;;;;;
2026-04-28 03:00:56 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4578.75000;6.00;Sell;1.8445;;;;;0.00000;0.0000;0.0000;;;0.00000;;102594.25;
2026-04-28 05:35:53 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;21.00;Buy;;;;;;;;;;;;;;
2026-04-28 05:35:53 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4597.70000;21.00;Buy;4.2726;;;;;0.00000;0.0000;0.0000;;0.7472;-410.54280;;102183.70;
2026-04-28 05:59:08 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;25.00;Sell;;;;;;;;;;;;;;
2026-04-28 05:59:08 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4594.55000;25.00;Sell;2.6819;;;;;0.00000;0.0000;0.0000;;;0.00000;;102183.70;
2026-04-28 06:00:10 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;27.00;Sell;;;;;;;;;;;;;;
2026-04-28 06:00:10 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4595.73000;27.00;Sell;5.2928;;;;;0.00000;0.0000;0.0000;;;0.00000;;102183.70;
2026-04-28 06:00:36 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;27.00;Sell;;;;;;;;;;;;;;
2026-04-28 06:00:36 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4596.79000;27.00;Sell;6.6906;;;;;0.00000;0.0000;0.0000;;;0.00000;;102183.70;
2026-04-28 09:00:00 -12;DAILY_FINANCING;;;;;;;;;;;17.85160;;;;;;;102201.56;
2026-04-28 09:00:00 -12;DAILY_FINANCING;Trade ID: 84;XAU/USD;;;;;;;;;5.64920;;;;;;;;
2026-04-28 09:00:00 -12;DAILY_FINANCING;Trade ID: 86;XAU/USD;;;;;;;;;6.10120;;;;;;;;
2026-04-28 09:00:00 -12;DAILY_FINANCING;Trade ID: 88;XAU/USD;;;;;;;;;6.10120;;;;;;;;
2026-04-28 17:00:37 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;79.00;Buy;;;;;;;;;;;;;;
2026-04-28 17:00:37 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4604.94000;79.00;Buy;20.1698;;;;;0.00000;0.0000;0.0000;;0.7474;-544.48730;;101657.07;
