transactions_101-004-39183559-001 9
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
230;2026-05-04 00:39:09 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4569.45000;10.00;Sell;2.5812;;;;;0.00000;0.0000;0.0000;;;0.00000;;102881.46
231;2026-05-04 02:09:30 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;30.00;Buy;;;;;;;;;;;;;
232;2026-05-04 02:09:30 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4554.86000;30.00;Buy;8.0805;;;;;0.00000;0.0000;0.0000;;0.7306;244.74030;;103126.20
233;2026-05-04 02:49:23 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;
234;2026-05-04 02:49:23 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4569.58000;10.00;Sell;1.9176;;;;;0.00000;0.0000;0.0000;;;0.00000;;103126.20
235;2026-05-04 03:19:53 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;10.00;Buy;;;;;;;;;;;;;
236;2026-05-04 03:19:53 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4538.63000;10.00;Buy;3.9509;;;;;0.00000;0.0000;0.0000;;0.7311;226.27690;;103352.48
237;2026-05-04 03:39:19 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;5.00;Sell;;;;;;;;;;;;;
238;2026-05-04 03:39:19 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4538.25000;5.00;Sell;1.4588;;;;;0.00000;0.0000;0.0000;;;0.00000;;103352.48
239;2026-05-04 09:00:00 -12;DAILY_FINANCING;;;;;;;;;;;1.31940;;;;;;;103353.80
;2026-05-04 09:00:00 -12;DAILY_FINANCING;Trade ID: 238;XAU/USD;;;;;;;;;1.31940;;;;;;;
240;2026-05-04 17:07:12 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;18.00;Sell;;;;;;;;;;;;;
241;2026-05-04 17:07:12 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4540.33000;18.00;Sell;3.6620;;;;;0.00000;0.0000;0.0000;;;0.00000;;103353.80
242;2026-05-04 17:07:55 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;18.00;Sell;;;;;;;;;;;;;
243;2026-05-04 17:07:55 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4541.74000;18.00;Sell;4.2609;;;;;0.00000;0.0000;0.0000;;;0.00000;;103353.80
244;2026-05-04 19:04:44 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;41.00;Buy;;;;;;;;;;;;;
245;2026-05-04 19:04:44 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4554.49000;41.00;Buy;7.2693;;;;;0.00000;0.0000;0.0000;;0.7461;-422.00440;;102931.79
246;2026-05-04 20:03:14 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;20.00;Sell;;;;;;;;;;;;;
247;2026-05-04 20:03:14 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4547.22000;20.00;Sell;4.9482;;;;;0.00000;0.0000;0.0000;;;0.00000;;102931.79
248;2026-05-04 20:04:32 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;
249;2026-05-04 20:04:32 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4549.09000;19.00;Sell;2.8762;;;;;0.00000;0.0000;0.0000;;;0.00000;;102931.79
250;2026-05-04 20:05:07 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;18.00;Sell;;;;;;;;;;;;;
251;2026-05-04 20:05:07 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4550.83000;18.00;Sell;3.5223;;;;;0.00000;0.0000;0.0000;;;0.00000;;102931.79
252;2026-05-04 20:57:06 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;57.00;Buy;;;;;;;;;;;;;
253;2026-05-04 20:57:06 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4558.89000;57.00;Buy;12.4146;;;;;0.00000;0.0000;0.0000;;0.7457;-421.07630;;102510.72
